	gain_event	loss_event
C3L-00001	True	True
C3L-00009	False	False
C3L-00080	True	True
C3L-00083	False	False
C3L-00093	False	True
C3L-00094	False	False
C3L-00095	False	False
C3L-00140	False	False
C3L-00144	False	False
C3L-00263	False	False
C3L-00279	False	False
C3L-00368	False	False
C3L-00412	False	False
C3L-00422	False	False
C3L-00510	False	False
C3L-00604	False	False
C3L-00893	True	False
C3L-00913	False	False
C3L-00973	False	False
C3L-01330	False	True
C3L-01632	False	False
C3L-01682	False	False
C3L-01683	False	False
C3L-01862	False	False
C3L-01889	False	False
C3L-01924	True	True
C3L-02219	False	False
C3L-02345	False	True
C3L-02348	False	False
C3L-02350	False	False
C3L-02365	True	True
C3L-02508	False	False
C3L-02549	False	False
C3N-00167	False	True
C3N-00169	False	True
C3N-00175	True	False
C3N-00180	False	False
C3N-00199	False	False
C3N-00203	False	True
C3N-00217	True	True
C3N-00223	False	True
C3N-00293	False	False
C3N-00294	False	False
C3N-00433	False	False
C3N-00546	True	True
C3N-00547	True	False
C3N-00549	True	False
C3N-00550	False	False
C3N-00551	True	False
C3N-00552	False	False
C3N-00556	True	True
C3N-00559	True	True
C3N-00560	True	True
C3N-00572	False	False
C3N-00574	True	True
C3N-00578	False	True
C3N-00579	False	False
C3N-00580	True	True
C3N-00704	True	True
C3N-00737	False	False
C3N-00738	False	False
C3N-00959	False	False
C3N-01016	True	False
C3N-01021	True	True
C3N-01023	False	False
C3N-01024	False	True
C3N-01030	True	False
C3N-01071	False	False
C3N-01072	False	False
C3N-01074	True	False
C3N-01405	True	False
C3N-01410	False	False
C3N-01413	False	False
C3N-01414	True	False
C3N-01415	False	True
C3N-01416	False	False
C3N-01488	False	False
C3N-01489	False	False
C3N-01799	False	False
C3N-01823	False	False
C3N-01842	False	False
C3N-02000	True	True
C3N-02002	True	True
C3N-02003	False	False
C3N-02067	True	True
C3N-02087	False	False
C3N-02089	True	False
C3N-02145	False	True
C3N-02149	False	False
C3N-02155	False	False
C3N-02158	False	False
C3N-02379	False	True
C3N-02380	False	False
C3N-02421	False	True
C3N-02422	False	False
C3N-02423	False	False
C3N-02424	False	False
C3N-02433	False	True
C3N-02529	True	True
C3N-02572	False	True
C3N-02582	False	True
C3N-02586	True	False
C3N-02587	False	False
C3N-02588	False	False
C3N-02729	True	False
X11LU013	True	True
X11LU016	False	False
X11LU022	True	False
X11LU035	False	False
